Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,9273.210000000001,111278.52,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,Asia Pacific (Tokyo),,S3 Standard,0,1.3,15.60,USD,,"S3 Standard storage (50 GB per month), PUT, COPY, POST, LIST requests to S3 Standard (10000), GET, SELECT, and all other requests from S3 Standard (10000)"
My Estimate,Asia Pacific (Tokyo),,Data Transfer,0,0,0.00,USD,,
My Estimate,Asia Pacific (Tokyo),,S3 Intelligent - Tiering,0,2.03,24.36,USD,,"S3 INT Average Object Size (16 MB), Percentage of Storage in INT-Frequent Access Tier (0.5), S3 INT storage (100 GB per month), Percentage of Storage in INT-Infrequent Access Tier (% of storage that hasn't been accessed in the last 30 days) (0.5), PUT, COPY, POST, LIST requests to S3 INT (10000), GET, SELECT, and all other requests from S3 INT (50000), Lifecycle Transition requests (1000)"
My Estimate,Asia Pacific (Tokyo),,Data Transfer,0,0,0.00,USD,,
My Estimate,Asia Pacific (Tokyo),,Amazon Redshift,0,229.47,2753.64,USD,,"Nodes (1), Instance type (dc2.large), Utilization (On-Demand only) (100 %Utilized/Month), Pricing strategy (OnDemand), Additional backup storage (10 GB)"
My Estimate,Asia Pacific (Tokyo),,Amazon Redshift,0,8898.94,106787.28,USD,,"Nodes (2), Instance type (dc2.8xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Pricing strategy (OnDemand), Data scanned (50 GB)"
My Estimate,Asia Pacific (Tokyo),,Amazon Kinesis Data Streams,0,141.47,1697.64,USD,,"Duration of data retention (1 days), Baseline number of records (100 per second), Number of Consumer Applications (3)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
